"","ALDH3B1","ALG1L","APC","C7","CAV1","CENPI","CST1","EPHA6","FAM83A","FOSB","GABRP","GJB6","GKN2","GPRC5A","GTSF1","H2AC14","IRS1","KREMEN2","LARGE2","LINC00887","LINC01910","LINC02605","LY6D","MAGEA10","MAGI2","MMP20","PCAT7","PITX2","TLX3","TNS4","WSCD2","status"
"TCGA.66.2734.01A",10.9571020415623,10.9113919878435,11.8289298276515,12.2455527062557,14.4156097440355,10.654636028528,7.6724253419715,2,15.3650237510343,9.83289001416474,10.733015321686,14.7948219733312,8.81378119121704,15.2127243531238,7.4093909361377,4.90689059560852,13.2957689344205,6.90689059560852,13.733015321686,6.49185309632967,5.32192809488736,5.16992500144231,10.2240016741981,2,8.51569983828404,2,5.75488750216347,8.59245703726808,1,13.9452609273392,3.32192809488736,"0"
"TCGA.85.8072.01A",11.0168082876866,10.4093909361377,9.98868468677217,11.8780509127285,12.3896313392605,9.30833903013941,4.58496250072116,1,8.39231742277876,8.54689445988764,12.1823943534045,8.82017896241519,7.74146698640115,13.3390148682501,4.4594316186373,2,10.7797193551434,6.61470984411521,12.18982455888,5.85798099512757,1,3.8073549220576,8.3037807481771,3,8.6724253419715,1,4,8.32192809488736,2,12.5425482623352,3.32192809488736,"0"
"TCGA.58.8393.01A",11.5430318202552,10.8281364841941,11.6697708885255,11.0140204703149,13.0508689632907,10.2761244052742,3.58496250072116,4,14.5724633890837,13.4843194236443,8.3037807481771,9.4797802640291,8.4757334309664,15.5693216174397,5.39231742277876,2.58496250072116,12.8423503434138,5.16992500144231,11.1910592145317,6.24792751344359,3,5.85798099512757,7.06608919045777,4,8.02236781302845,1,5.75488750216347,7.62935662007961,1,13.8663130157022,4.70043971814109,"0"
"TCGA.98.A53H.01A",13.9521952199141,8.38370429247405,11.7515440590891,15.5740021376835,14.3390148682501,9.26209484537018,7.14974711950468,4.70043971814109,11.3060616894283,13.6193029554157,13.0433691139577,10.1059085085712,7.4594316186373,14.5417016457802,6.08746284125034,1,11.9076418036655,7.90689059560852,11.3782948559119,4.32192809488736,1,7.02236781302845,13.3782948559119,1,10.3487281542311,3,4.8073549220576,6.04439411935845,5.24792751344359,13.1620765703743,7.78135971352466,"0"
"TCGA.37.4135.01A",9.64024493622235,10.2167458581953,9.12412131182919,9.12928301694497,11.2336196767597,10.5526690975143,7.37503943134692,3.58496250072116,8.44294349584873,9.2336196767597,12.1885888457073,8.68650052718322,7.04439411935845,11.1241213118292,6.55458885167764,5.16992500144231,9.02236781302845,8.19967234483637,12.1039434298916,5.8073549220576,7.96578428466209,2.58496250072116,7.3037807481771,12.9527412471865,8.98299357469431,8.22881869049588,7.64385618977472,4,1,7.2667865406949,4.32192809488736,"0"
"TCGA.37.3792.01A",12.3608470841797,5.58496250072116,11.3409627642517,7.5077946401987,14.4704046770656,10.0251395622785,8.53138146051631,1,13.0630579636235,12.7334390828994,5.85798099512757,10.0821490413539,2,14.6340168956841,7.33985000288462,6.08746284125034,10.6474584264549,8.51569983828404,12.0674343607565,3.8073549220576,5,6.61470984411521,11.4817994316658,2,8.20945336562895,2,6.20945336562895,4.4594316186373,6,13.9091430473399,2,"0"
"TCGA.56.8622.01A",10.3750394313469,10.5660540381711,11.0112272554233,12.2940463132715,14.635718120331,7.10852445677817,11.1885888457073,2,13.4125698468052,10.0927571409199,7.75488750216347,13.9518310868882,6.28540221886225,14.3454052467178,5.4594316186373,1,11.1176431013891,9.43879185257826,12.1331422124006,7.4093909361377,4.8073549220576,4,14.920073669146,3.8073549220576,8.96000193206808,10.4429434958487,4,5.64385618977472,1,14.4112461518404,5.08746284125034,"0"
"TCGA.56.6545.01A",11.6483575820097,6.6724253419715,12.748612176737,13.8378250091967,16.0282082537365,10.6865005271832,13.4903495057393,4.4594316186373,9.7279204545632,12.5097750043269,6.93073733756289,12.7142455176661,8.71424551766612,14.4373619614444,8.3037807481771,2.58496250072116,14.2498541700072,10.1522848423066,11.6339034093485,6.58496250072116,1,7.2667865406949,9.49984588708321,13.2966294742855,9.58496250072116,9.77807712953536,8.38370429247405,3.8073549220576,3,13.7142455176661,8.15987133677839,"0"
"TCGA.60.2695.01A",10.6969675262343,11.1510165388922,11.7714894695006,12.5938579388582,12.9046346216682,10.3772105303886,8.19967234483637,6.4594316186373,8.73470962022584,12.2508905357233,11.0714623625566,3,7.82017896241519,14.5431526844149,7.85798099512757,4.4594316186373,11.9196082386033,8.3037807481771,11.8297227350861,7.32192809488736,4.58496250072116,4,7.93073733756289,2.58496250072116,9.55842071326866,3,5.24792751344359,8.4178525148859,6.08746284125034,11.8849336479498,6.39231742277876,"0"
"TCGA.37.4141.01A",10.0251395622785,5.39231742277876,10.9600019320681,12.0546043179607,12.4782640315817,11.2644426002266,16.2508905357233,11.9417812422785,6.12928301694497,13.0583300262057,5.24792751344359,5.4594316186373,6.8073549220576,12.0161118382205,5.32192809488736,4.58496250072116,12.7262181593322,7.37503943134692,12.2685420003001,5.64385618977472,2.58496250072116,3.8073549220576,3.32192809488736,10.667111542075,9.4178525148859,6.35755200461808,6.16992500144231,8.2667865406949,2,7.39231742277876,5.32192809488736,"0"
"TCGA.66.2753.01A",10.2992080183873,10.1369911120802,11.5352753766208,13.4630134134497,14.3412408205387,11.5933911227917,8.53915881110803,4.70043971814109,13.4299297413533,10.9410476063406,6.93073733756289,10.7073591320809,7.39231742277876,14.8383175815122,5.24792751344359,2.58496250072116,13.6304946615056,8.96000193206808,13.3278332967503,5.08746284125034,2,5.16992500144231,6.32192809488736,2,9.63299519714296,6.04439411935845,6.24792751344359,4,2,13.097044499323,3.8073549220576,"0"
"TCGA.63.A5MT.01A",10.0443941193585,8.57742882803575,9.29001884693262,10.4387918525783,12.9057630496028,8.90086680798075,7.08746284125034,1,10.9307373375629,11.4460494067166,10.0687782779854,9.81057163474115,2,14.166320025267,7.76818432477693,1,10.6492561775173,11.4604558963096,10.2992080183873,5.64385618977472,2.58496250072116,6.6724253419715,11.9650627567446,10.4998458870832,6.88264304936184,2,8.06608919045777,1,1,14.6655579898464,3.58496250072116,"0"
"TCGA.66.2786.01A",12.9347965921784,10.1649069266757,10.8501868376458,13.0630579636235,14.4600718773976,10.4072677642447,9.19475685442225,5.70043971814109,13.3205185246327,13.2752515434703,8.15987133677839,4.58496250072116,9.14974711950468,15.8308122717449,4.32192809488736,4,13.1526017440192,9.31741261376487,12.1344263202209,6.24792751344359,4.32192809488736,3.8073549220576,14.103287808412,2,10.0927571409199,1,7.64385618977472,8.25738784269265,1,14.3908406957667,7.4262647547021,"0"
"TCGA.52.7622.01A",11.7780771295354,10.7108064336994,12.0620461377205,14.0385761027688,14.8945335910788,10.3966047811819,10.8486229404293,4.16992500144231,11.5264992391366,14.6831042734777,9.0389189892923,12.7915699121269,10.5038257379958,15.6696601802386,6.97727992349992,2.58496250072116,12.4573808790725,7,13.0220209696464,5.85798099512757,2.58496250072116,8.83920378809694,12.9751314569213,5.16992500144231,10.7364019313183,5.32192809488736,4.32192809488736,7.78135971352466,1,13.512493573945,7.95419631038687,"0"
"TCGA.66.2744.01A",11.237209960755,8.95419631038687,11.5176693881338,12.3208005488816,14.9393955601816,9.32192809488736,5.4594316186373,5,11.8788172846142,12.5053153561362,10.1189410727235,11.5166849493096,9.02236781302845,14.8806357879085,6.6724253419715,4.32192809488736,11.9181178510318,11.1699250014423,13.9726208620587,5.64385618977472,2,4.58496250072116,4,2.58496250072116,7.71424551766612,3.32192809488736,7.7279204545632,5.85798099512757,2.58496250072116,13.9971794809376,7.85798099512757,"0"
"TCGA.34.5234.01A",12.0320457269308,10.6257088430645,10.3750394313469,14.1083610989066,14.5177923957684,9.01122725542325,11.7270695580237,4.16992500144231,13.0844762374539,10.57931593758,11.0402897210257,14.8505775472056,9.44708322620965,13.7780771295354,8.08746284125034,4.70043971814109,12.4257404243162,7.84549005094437,12.1953722074027,5.32192809488736,2,5.39231742277876,13.7889222039606,4.4594316186373,9.88874324889826,1,6.16992500144231,4.58496250072116,1,12.1667907507182,5.32192809488736,"0"
"TCGA.85.6560.01A",11.3387363825739,6.04439411935845,12.6406968375701,12.2638560195961,14.1554507313121,12.8025163651212,8.62205181945638,11.963618617444,6.85798099512757,14.1837904349465,5.58496250072116,6.20945336562895,4,13.6991386252759,6.58496250072116,1,10.1873520732005,8.59991284218713,12.5698556083309,3.8073549220576,5.52356195605701,3.32192809488736,4,1,9.21916852046216,2.58496250072116,8.04439411935845,5.52356195605701,1,8.78790255939143,8.48381577726426,"0"
"TCGA.85.7710.11A",13.5048189876328,4.70043971814109,12.4737057496194,15.6968588854691,16.0043082615436,8.18982455888002,3,2.58496250072116,6.20945336562895,10.9571020415623,7.85798099512757,6.20945336562895,11.8749813476538,15.769372982971,8.59245703726808,2.58496250072116,11.1019756709492,6.24792751344359,10.2094533656289,3,2,6.55458885167764,5.85798099512757,1,9.81698362325538,2.58496250072116,3.58496250072116,2.58496250072116,2,7.75488750216347,7.08746284125034,"0"
"TCGA.60.2710.01A",11.581200581925,11.871135184243,12.3586512008929,13.0423433797937,13.1487943214243,10.4898479604393,6.55458885167764,7.32192809488736,12.1836353814732,12.5555477716471,9.37503943134693,12.9794251953315,8.49984588708321,14.519021895622,7.4093909361377,4.32192809488736,11.7788984760084,7.89481776330794,13.2470374187886,4.90689059560852,2.58496250072116,6.16992500144231,11.8986013874039,4.32192809488736,10.8517490414161,2.58496250072116,8.69348695749932,10.6917435191713,3,14.2755425560867,10.3219280948874,"0"
"TCGA.98.A539.01A",10.243173983473,8.64385618977472,10.5584207132687,12.192909219112,14.4902241357596,10.1421070573025,8.05528243550119,2,12.4548133485125,12.5033288566267,5.52356195605701,12.5788443915582,6.90689059560852,13.1601865766007,5.24792751344359,3.32192809488736,13.2735042339622,7.71424551766612,12.8753654006418,5.75488750216347,6.61470984411521,7.10852445677817,9.40087943628218,11.2288186904959,9.61838550225861,2,3.8073549220576,5.52356195605701,2.58496250072116,14.515576652096,4,"0"
"TCGA.39.5035.01A",9.66888498426625,8.97154355395077,11.2395985292491,10.8978454560055,13.1506992887445,8.31288295528435,9.68299458368168,1,10.9715435539508,11.237209960755,9.14974711950468,11.9166259222112,6.08746284125034,11.6393407086522,5.16992500144231,3.32192809488736,11.0056245491939,7.85798099512757,12.9008668079807,6.12928301694497,3.32192809488736,4.16992500144231,14.5387951828664,6.08746284125034,8.36632221424582,2.58496250072116,3,2.58496250072116,1,13.0993478104032,4.32192809488736,"0"
"TCGA.98.A53C.01A",12.7883105037009,7.06608919045777,11.7287708495427,15.9826816936139,16.1662807912123,7.5077946401987,4.16992500144231,1,5.8073549220576,14.5579422867874,8.39231742277876,7.55458885167764,10.4450148458684,16.3240047004109,9.64024493622235,1,11.8501868376458,8.43462822763673,10.7004397181411,3.32192809488736,1,7.61470984411521,3,9.49185309632967,9.94836723158468,2,4.70043971814109,7.18982455888002,3.58496250072116,9.5274770060604,6.16992500144231,"0"
"TCGA.66.2754.01A",9.25266543245025,9.61102479730735,12.0154150523867,9.42206476617281,11.2143191208008,10.1522848423066,8.83289001416474,2,7.12928301694497,12.3831642606351,3.58496250072116,3,6.52356195605701,10.7731392067197,13.0904432750816,4.90689059560852,10.2620948453702,5.32192809488736,13.664447284548,5.64385618977472,2,4.32192809488736,4,11.8313072438021,8.4178525148859,1,5.58496250072116,10.1774195379892,1,6.4594316186373,3,"0"
"TCGA.85.A510.01A",9.79766152585376,7.10852445677817,11.0402897210257,12.2911706993219,11.8305152069768,9.63299519714296,3.58496250072116,9.04984854945056,8.52356195605701,14.2673719312653,6.7279204545632,4,7.8073549220576,13.2200759709843,8.4093909361377,5.08746284125034,9.24317398347295,6.70043971814109,11.5603328342124,4.32192809488736,1,3,2.58496250072116,3,8.55458885167764,1,5.24792751344359,5.58496250072116,2,5.58496250072116,2,"0"
"TCGA.63.6202.01A",12.3387363825739,6,11.1382718001722,10.0552824355012,12.5082899861403,10,9.5352753766208,6.24792751344359,16.4180172869821,10.958552715431,3.8073549220576,10.9454438363779,7.12928301694497,15.886125229233,5.64385618977472,5.08746284125034,13.0778171208959,6.8073549220576,12.2360141919001,2,1,4.16992500144231,7.55458885167764,2.58496250072116,8.25738784269265,2.58496250072116,3.8073549220576,2,1,10.1699250014423,5.75488750216347,"0"
"TCGA.43.5670.11A",15.3892952269088,8.64385618977472,12.7393587074334,16.096509275781,17.2210961710217,6.85798099512757,4.8073549220576,4,7.88264304936184,15.5488219084588,11.5755392468345,4.4594316186373,12.3009244909763,17.0091944128212,6.58496250072116,2,11.9344280406268,4.32192809488736,9.73131903102506,1,2,8.45121111183233,7.22881869049588,1,11.0781508077346,1,3.32192809488736,1,1,10.5641494899857,8.05528243550119,"0"
"TCGA.37.4132.01A",10.8887432488983,4.70043971814109,10.5943246039248,12.0028150156071,11.9592775057205,9.70390357344466,18.4662198823266,2,4.32192809488736,14.6226238408115,3.8073549220576,4.8073549220576,7.49185309632967,11.2656150464845,7.39231742277876,2.58496250072116,9.92481250360578,6.7279204545632,12.9347965921784,9.3037807481771,1,4.58496250072116,4.58496250072116,1,8.49984588708321,1,5.85798099512757,4.32192809488736,1,11.7270695580237,3.58496250072116,"0"
