"","IL6","PPFIA4","CACNA1I","CDKN2A","PLAAT1","PLXNB3","C14orf39","LINC01549","ONECUT3","PRSS3","IMPDH1P8","KIAA0895LP1","RCOR2","FAM72C","RAD51AP2","SMC1B","FTCD","PPP1R27","GINS2","WNK2","COL4A3","ESCO2","SH2D5","AQP1","MYOSLID","PDE10A","DUXAP9","NLRP10","VCAN","NUS1P2","status"
"TCGA.96.A4JL.01A",8.65105169117893,9.7279204545632,6.35755200461808,11.9541963103869,4,11.3706874068072,3,6.04439411935845,4.32192809488736,1,5.08746284125034,5.58496250072116,7.83289001416474,5.70043971814109,6.75488750216347,4.16992500144231,6.16992500144231,6.4262647547021,10.4998458870832,15.1527601687754,10.2264121927888,10.5333297323058,2.58496250072116,13.0791514054219,5.08746284125034,9.64385618977473,5.08746284125034,1,13.6873756834375,1,"0"
"TCGA.58.8390.01A",7.16992500144231,10.1922928144708,2.58496250072116,6.7279204545632,6.78135971352466,10.7846348455575,1,2.58496250072116,1,3.58496250072116,5.64385618977472,5.90689059560852,10.5117526537674,5.58496250072116,5.52356195605701,6.7279204545632,2.58496250072116,4.16992500144231,10.6635581042173,13.6697708885255,9.51569983828404,9.95710204156229,8.29462074889163,13.2749604721406,6.52356195605701,8.61470984411521,6.08746284125034,2,16.1713722927319,6.4262647547021,"0"
"TCGA.34.5232.01A",9.67948009950545,9.54303182025524,8.88264304936184,14.0443941193585,10.7548875021635,11.6137894644726,4.4594316186373,1,5.32192809488736,4,3.8073549220576,7.74146698640115,7.68650052718322,6.49185309632967,6.20945336562895,6.04439411935845,7.76818432477693,5.08746284125034,12.0573148777827,14.8657332708518,9.74146698640115,11.806549621986,7.74146698640115,14.7201373563542,6.52356195605701,8.28540221886225,5.90689059560852,1,13.7412562970921,5.70043971814109,"0"
"TCGA.37.3783.01A",10.8517490414161,8.97154355395077,4,7.12928301694497,9.04984854945056,10.0633950812885,3,3,3,3,4,1,6.32192809488736,6.97727992349992,6.28540221886225,9.38801728534514,3.58496250072116,4.16992500144231,12.4346282276367,7.52356195605701,3.8073549220576,11.2033480029798,8.17990909001493,12.8419573990995,8.65105169117893,10.3923174227788,6.08746284125034,1,13.6295843001938,2.58496250072116,"0"
"TCGA.77.A5G8.01B",7.78135971352466,11.2946207488916,8.17990909001493,12.7172480058276,7.53915881110803,11.2276159434142,5.4594316186373,3,6.6724253419715,7.84549005094437,3.58496250072116,4.8073549220576,9.93663793900257,6.93073733756289,7.04439411935845,4.32192809488736,6.24792751344359,5.16992500144231,10.1369911120802,11.4938554492408,7.18982455888002,9.13955135239879,9.35755200461808,11.8548683832602,7.84549005094437,8.06608919045777,4.58496250072116,3,12.7776662808808,5.08746284125034,"0"
"TCGA.60.2708.01A",9.34872815423108,10.1111356702347,8.4757334309664,12.8517490414161,8.54689445988764,12.2449583931511,1,6.70043971814109,6.28540221886225,6.95419631038687,4.58496250072116,5.8073549220576,8.91886323727459,4.4594316186373,3.8073549220576,6.95419631038687,4.70043971814109,1,11.0620461377205,10.5565060546719,6.70043971814109,9.2240016741981,9.2807707701306,12.5304063370991,9.06608919045777,10.1922928144708,5.39231742277876,2.58496250072116,16.3880845736566,5,"0"
"TCGA.66.2755.01A",9.51175265376738,10.0953970227926,7.22881869049588,7.7279204545632,6.35755200461808,9.4797802640291,1,1,3.32192809488736,6.61470984411521,5.08746284125034,4,10.0306671362469,6.64385618977472,6.58496250072116,7.35755200461808,10.4408691676109,5.70043971814109,11.5137275959524,13.546653347655,8.4262647547021,11.0714623625566,6.93073733756289,11.3998119593257,6.64385618977472,8.31288295528435,2.58496250072116,2,14.2080819099811,3.58496250072116,"0"
"TCGA.98.A538.01A",6.93073733756289,9.96289600533726,6.24792751344359,13.1497471195047,10.813781191217,12.2508905357233,6.12928301694497,2,9.08746284125034,4.8073549220576,3,1,10.5488219084588,6.4594316186373,5.64385618977472,7.24792751344359,7.7279204545632,4,11.6838718686226,12.2796105810525,5.8073549220576,10.8407779235951,8.2667865406949,11.3531468254981,3,11.0512089409148,6.52356195605701,1,14.6840911065291,6.04439411935845,"0"
"TCGA.43.8116.01A",8.02236781302845,8.85174904141606,5.16992500144231,5.70043971814109,8.70043971814109,9.06069593168755,4.32192809488736,4.32192809488736,1,2,6.35755200461808,5.70043971814109,10.6934869574993,5.70043971814109,5.16992500144231,7.12928301694497,4,4.4594316186373,10.3728650601126,13.0707918094231,9.66888498426625,9.05528243550119,6.24792751344359,12.1966021265232,7.49185309632967,7,7.28540221886225,1,13.4452735556406,5.4594316186373,"0"
"TCGA.68.A59I.01A",11.8415643477306,11.581200581925,7.76818432477693,11.5478585060584,7.8703647195834,11.4398308839814,4.32192809488736,1,4.4594316186373,3.32192809488736,5,2,9.88569637333939,3.8073549220576,7.20945336562895,7.18982455888002,5.08746284125034,5.95419631038687,9.5077946401987,11.6768386064742,8.8703647195834,9.04439411935845,8.5077946401987,12.7760217152528,5.90689059560852,8.82654848729091,5.75488750216347,1,14.6633357234784,6.04439411935845,"0"
