"","LINC00640","KRT17P1","GSDMC","EIF4G1","FOXG1","H2BC9","HMGB3P6","CSTL1","ATF7IP","RNF222","EGF","FAM83A","GCGR","KRT75","LINC00887","TMPRSS11D","SBSN","VIL1","BMP7","TFAP2A","PLXNB3","CDT1","COL9A3","TMPRSS4","LINC02830","DSEL","NLGN1","GNG4","SLC9A2","CENPI","status"
"TCGA.85.A4CN.01A",6.35755200461808,5,9.94836723158468,16.6422209604196,2.58496250072116,7.94251450533924,2.58496250072116,3,12.4933551214949,5,9.2667865406949,8.85798099512757,6.64385618977472,7.62935662007961,3.58496250072116,10.8201789624152,10.8856963733394,2,13.2357150947619,11.2094533656289,11.1111356702347,11.612868497291,10.5468944598876,15.0717975222842,4.90689059560852,8.62205181945638,7.95419631038687,9.35755200461808,7.91886323727459,10.1163439612375,"0"
"TCGA.56.7580.01A",8,5.58496250072116,10.9454438363779,16.23451808574,8.98868468677217,9.93663793900257,4.4594316186373,3.8073549220576,13.5161924778794,3.58496250072116,8.15987133677839,6.32192809488736,3.58496250072116,4.58496250072116,6.24792751344359,13.5802585674998,3.32192809488736,7.65821148275179,8.876516946565,13.0416591516372,9.46352437327118,11.4325419003883,5.08746284125034,13.0265234425198,7.94251450533924,10.4262647547021,8.06608919045777,10.1059085085712,5.8073549220576,10.2336196767597,"0"
"TCGA.63.7023.01A",6.28540221886225,4.58496250072116,8.84549005094437,16.2218514099034,1,7.4757334309664,3.58496250072116,3.58496250072116,13.4785168476765,3.58496250072116,8.18982455888002,9.31741261376487,2,4.70043971814109,4.16992500144231,9.40514146313634,6.4594316186373,5.85798099512757,13.5814359894544,13.6768386064742,8.49185309632967,12.4983506079296,5.16992500144231,13.3788367132106,2.58496250072116,7.10852445677817,7.59991284218713,13.2395985292491,8.17990909001493,9.89178370321831,"0"
"TCGA.85.8354.01A",6.39231742277876,4.70043971814109,9.24792751344359,16.6511638366212,2,7.64385618977472,2,4.58496250072116,13.0677704574478,3.8073549220576,9.73131903102506,8.54689445988764,3.58496250072116,8.59245703726808,4.90689059560852,8.15987133677839,9.4178525148859,3,13.0539258815311,11.5216004397237,11.1984450414524,12.0593444608244,10.3219280948874,13.8722901102881,3.8073549220576,5.24792751344359,6.04439411935845,4,10.2969162068793,9.84862294042934,"0"
"TCGA.85.8580.01A",5.32192809488736,5.4594316186373,11.0874628412503,16.4236411950759,4.16992500144231,7.83289001416474,3,1,12.9050108623903,7.53915881110803,7.89481776330794,10.6829945836817,7.91886323727459,7.71424551766612,3,13.9607259948391,13.604553229079,5.64385618977472,14.0168082876866,12.0021117764799,11.4136279290242,11.0566377151132,8.93073733756289,15.1674181458317,2.58496250072116,9.66888498426625,8.53138146051631,8.876516946565,10.6794800995054,9.89784545600551,"0"
"TCGA.66.2795.01A",6.35755200461808,5.08746284125034,10.5018371849023,15.7551483826258,1,8.27612440527424,3,3.8073549220576,12.6316318059176,2.58496250072116,8.58496250072116,12.1836353814732,2,7.02236781302845,5.16992500144231,9.66533591718518,9.55842071326866,3.58496250072116,10.8548683832602,10.4635243732712,10.0056245491939,11.3014961949825,7.02236781302845,14.3715044120433,4.16992500144231,8.91886323727459,6.08746284125034,10.9844184588011,11.4178525148859,8.8703647195834,"0"
"TCGA.77.8139.01A",8.6582114827518,8.43462822763673,9.89481776330794,16.1830925630473,2,8.09803208296053,2.58496250072116,1,12.7355560239115,2.58496250072116,8.72109918870719,10.6275338844728,2,16.1218977065396,3.8073549220576,9.6582114827518,5,1,12.6142497276894,12.7632123668144,9.87958324961278,11.3619437737352,9.68999797141945,13.6878130625649,1,7.2667865406949,3.8073549220576,10.3264294871223,2.58496250072116,9.98013957763916,"0"
"TCGA.96.A4JK.01A",8.36632221424582,3,12.3420746679991,16.8018093844437,1,8.99435343685886,3.32192809488736,4.4594316186373,13.3401282737006,5.64385618977472,8.62935662007961,8.13955135239879,7.71424551766612,7.56985560833095,4.32192809488736,7.83289001416474,8.65105169117893,4,13.2790301364496,11.5545888516776,11.8641861446543,12.0687782779854,10.2312211807112,16.0629736718972,1,6.90689059560852,6.35755200461808,8.59991284218713,10.5294305541462,10.6829945836817,"0"
"TCGA.56.A4BW.01A",7.65821148275179,5.08746284125034,10.652844973002,15.8282356759877,1,7.18982455888002,2.58496250072116,3.58496250072116,14.1584519045384,4.16992500144231,5.4594316186373,13.1121136580979,6.8073549220576,7.64385618977472,7.7279204545632,13.5620038636516,10.1344263202209,4.16992500144231,12.4496645384762,12.0334230015375,11.1344263202209,11.7515440590891,8.74146698640115,14.1788204395794,2,7.71424551766612,5.32192809488736,10.5372184005386,7.22881869049588,9.45532722030456,"0"
"TCGA.43.A56V.01A",9.29001884693262,5.58496250072116,11.5362472156881,16.2970953858158,1,8.27612440527424,2.58496250072116,2.58496250072116,13.3509391815464,5.08746284125034,8.79441586635011,13.2030420555625,6.55458885167764,5.24792751344359,8.68650052718322,12.5689061545021,11.3083390301394,4,14.0930873904442,12.01471792986,11.4828079567267,12.0573148777827,7.18982455888002,15.025831668332,4.4594316186373,8.11894107272351,6,11.4157417682901,8.69348695749932,10.4178525148859,"0"
"TCGA.60.2721.01A",8.14974711950468,3.32192809488736,10.523561956057,16.8910716714324,2,8.59991284218713,2.58496250072116,6,14.1226662486288,4.16992500144231,7.97727992349992,12.8157835441282,4,4.4594316186373,6.4594316186373,14.0263505300678,10.8811139606751,11.1636496760158,14.0677704574478,12.7321674256634,11.5774288280357,11.7854524681585,9.92184093707449,15.9619922309289,6.55458885167764,8.84549005094437,8.90086680798075,6.32192809488736,10.6582114827518,9.82336724004623,"0"
"TCGA.NC.A5HI.01A",8.78135971352466,5.32192809488736,12.4777582664439,16.3889590362329,1,8.86418614465428,4.4594316186373,4.32192809488736,14.0849744343075,5.85798099512757,6.52356195605701,12.2650289424582,4.90689059560852,5.52356195605701,4.90689059560852,13.8217739819706,9.34429590791582,4,14.2397476835569,12.9203528554151,12.2015113445001,12.2597432636908,5.75488750216347,15.7582232147267,4.4594316186373,5,7.96578428466209,7.56985560833095,8.4262647547021,10.9366379390026,"0"
"TCGA.77.A5G3.01A",6.32192809488736,7.88264304936184,11.3498340914572,16.9949721072078,3,8.11894107272351,4.90689059560852,7.4093909361377,13.6604416502092,6.35755200461808,6.58496250072116,9.98868468677217,5.85798099512757,10.0140204703149,5.70043971814109,13.5347892114803,13.567480801143,4.90689059560852,13.1652210682209,11.7523806465529,11.5245417150358,12.1996723448364,8.09803208296053,15.5277213442845,5.90689059560852,7.55458885167764,6.55458885167764,8.21916852046216,13.2940463132715,10.3815429511846,"0"
"TCGA.63.A5MH.01A",8.40087943628219,5.95419631038687,7.44294349584873,15.6957720276198,1,9.11894107272351,2.58496250072116,2.58496250072116,13.0887882387169,3.58496250072116,5.85798099512757,12.1176431013891,3.8073549220576,8.19967234483637,6.64385618977472,9.93663793900257,10.9957671508778,2.58496250072116,13.3553510964248,12.9794251953315,11.3072008091408,11.0647427647503,12.410451351504,11.9307373375629,3.8073549220576,7.08746284125034,8.467605550083,6.97727992349992,7.65821148275179,10.0980320829605,"0"
"TCGA.60.2723.01A",5.8073549220576,7.24792751344359,12.2544381482673,16.3992445407684,1,11.8517490414161,3.32192809488736,1,13.2670792656712,2.58496250072116,10.3685064615077,11.0320457269308,2.58496250072116,6.20945336562895,2.58496250072116,12.677719641641,5.58496250072116,3,12.2591547688668,12.7120970510875,10.3465137331656,11.652844973002,5.8073549220576,14.0176783769964,3.32192809488736,10.8963324039099,5.85798099512757,11.2714630279044,6.04439411935845,11.0821490413539,"0"
"TCGA.43.A475.01A",4.16992500144231,3.32192809488736,7.76818432477693,16.9158793788358,7.2667865406949,6.35755200461808,2,2.58496250072116,13.6332223038008,3,10.3901689562002,6.35755200461808,4.32192809488736,5.16992500144231,3.32192809488736,6.6724253419715,5.32192809488736,3.32192809488736,13.3674147512468,10.7927902943011,11.3987436919382,10.9715435539508,5.8073549220576,12.7858611057596,2,10.3641346550081,8.36632221424582,7.28540221886225,8.37503943134692,10.3750394313469,"0"
"TCGA.94.A4VJ.01A",5.52356195605701,6.16992500144231,10.2784494582205,16.083063744716,1,7.10852445677817,2.58496250072116,3,13.1472049249422,5.90689059560852,9.38801728534514,14.3010674382185,5.32192809488736,13.2179576978641,6.04439411935845,10.1873520732005,13.468624042918,3.32192809488736,14.3665954260714,13.0930873904442,11.7380922596205,11.7210991887072,6.95419631038687,15.2003622444467,1,7.52356195605701,2.58496250072116,6.49185309632967,10.6969675262343,9.64024493622235,"0"
"TCGA.21.1080.01A",7.5077946401987,5,11.8572034715082,16.9796038240745,2,7.22881869049588,1,4,13.4868350215631,4,4.90689059560852,15.4288181399796,2.58496250072116,10.5274770060604,7.82017896241519,11.7648715907361,9.62205181945638,3.32192809488736,11.9992953870234,12.7410455770098,11.0168082876866,12.0593444608244,6.08746284125034,14.6302671250268,5.08746284125034,7.68650052718322,6.83289001416474,6.04439411935845,9.59618975614441,10.5294305541462,"0"
"TCGA.94.8491.01A",5.75488750216347,4.70043971814109,11.1357092861044,16.1484765821783,1,6,4.32192809488736,3.32192809488736,12.4721831161895,5,7.70043971814109,12.1459321458205,4,15.1521263653425,5.58496250072116,7.64385618977472,5.95419631038687,2.58496250072116,7.52356195605701,12.111787735801,12.7527987584355,11.0512089409148,6.4262647547021,14.9285183752579,6,7.35755200461808,6.58496250072116,7.59991284218713,9.69696752623429,8.53138146051631,"0"
"TCGA.46.6026.01A",8.75488750216347,9.68650052718322,8.61470984411521,16.8147076248859,1,8.40087943628219,3.32192809488736,5.16992500144231,14.0763145742846,7.06608919045777,8.88264304936184,10.2784494582205,10.7731392067197,10.813781191217,6.08746284125034,6,13.3281138948337,7.12928301694497,13.9659646102721,14.2057932493972,11.3837042924741,12.5289424150649,12.7291958591321,14.5043224482919,7.04439411935845,8.66533591718518,7.6724253419715,9.76818432477693,10.9657842846621,10.2384047393251,"0"
"TCGA.70.6723.01A",9.18982455888002,6.55458885167764,14.5904700951875,18.1240102129233,1,7.6724253419715,3.32192809488736,6.39231742277876,14.879296060393,5.32192809488736,11.3309168781146,11.6174674652942,4.90689059560852,10.7176764230664,5.95419631038687,13.8759412884976,10.1472049249422,2.58496250072116,14.047123912114,13.0488274133639,12.1730524577741,12.7772553151919,10.0687782779854,15.4128344401193,5.70043971814109,5.95419631038687,6.08746284125034,12.0491678723722,9.49984588708321,11.5097750043269,"0"
"TCGA.66.2792.01A",7.44294349584873,5.75488750216347,11.9556499075284,18.2952936246952,2,6.88264304936184,3.58496250072116,4.90689059560852,13.512987309419,5,7.04439411935845,10.8153832958135,4.32192809488736,7.78135971352466,4.70043971814109,12.2312211807112,10.2021238238305,3,14.4101863207251,12.292321632802,10.467605550083,12.1755495506362,6.12928301694497,16.5382192506444,7.12928301694497,8.12928301694497,8.56985560833095,11.5830827675029,9.98299357469431,11.2215871212648,"0"
"TCGA.39.5027.01A",7.93073733756289,6.97727992349992,11.6626683755175,17.0427708576601,1,8.91288933622996,2.58496250072116,7.8073549220576,13.5533893047216,4.90689059560852,10.1774195379892,9.75488750216347,5.8073549220576,9.75488750216347,6,12.1535520317081,10.6110247973074,9.86108690599539,14.4406096667484,12.4802853209364,10.8169836232554,13.1620765703743,9.51175265376738,15.2548071900519,8.25738784269265,7,10.5755392468345,12.3674147512468,9.04439411935845,10.4635243732712,"0"
"TCGA.56.7823.01B",6.8073549220576,5.64385618977472,10.3575520046181,16.4396361225851,3,6.4594316186373,3.58496250072116,2.58496250072116,12.9038818457362,5.39231742277876,9.04984854945056,11.9469062744564,3.8073549220576,6.97727992349992,2.58496250072116,6.83289001416474,11.1811522568656,8.54689445988764,12.9797824307031,12.3134499409631,10.3728650601126,11.4635243732712,9.61470984411521,14.7964452590618,4.8073549220576,7.7279204545632,5.39231742277876,9.33985000288462,11.806549621986,9.84862294042934,"0"
"TCGA.60.2724.01A",9.16490692667569,7.24792751344359,11.6908710092923,16.471643464592,3.58496250072116,8.78790255939143,2,3.32192809488736,13.2517782570359,7,7.4594316186373,14.4734520889522,4.4594316186373,10.3966047811819,4.4594316186373,8.74146698640115,12.5323559252888,8.61470984411521,12.3575520046181,11.3987436919382,10.951284714967,11.6220518194564,9.59618975614441,15.4819885838249,4.32192809488736,9.88874324889826,4.90689059560852,7.62935662007961,8.10852445677817,9.95128471496697,"0"
"TCGA.34.5240.01A",5.08746284125034,4.16992500144231,9.17492568250068,16.4707859557643,2,5.70043971814109,3.58496250072116,2.58496250072116,12.7142455176661,2,10.7565563225241,4.8073549220576,1,8.6582114827518,5.85798099512757,6.4262647547021,8.34872815423108,1,15.2029655585694,10.9395792143147,10.9053870050181,12.3575520046181,10.8073549220576,15.2984922183027,8.06608919045777,10.4737057496194,10.5352753766208,13.2862689626798,11.5362472156881,10.4262647547021,"0"
"TCGA.58.8391.01A",6.7279204545632,3.58496250072116,10.5449644327892,16.4806955495234,1,7,1,4.16992500144231,12.9487322398196,4.70043971814109,10.4387918525783,13.2321210840822,6.4594316186373,8.14974711950468,3,12.4908508767403,8.52356195605701,2,14.7177835075007,12.0721326041672,11.8970891283128,12.12153351734,7.32192809488736,14.7387256224934,4.58496250072116,7.18982455888002,3.8073549220576,8.22881869049588,7.02236781302845,10.1137421660492,"0"
"TCGA.85.8070.01A",6.49185309632967,2,7.4757334309664,16.092550696571,1,7.89481776330794,3,2,12.6110247973074,2,11.6339034093485,5.52356195605701,1,2,4.70043971814109,4.70043971814109,5.16992500144231,6.64385618977472,8.28540221886225,11.3162815317462,10.7176764230664,11.3564519702218,5.75488750216347,14.6765080795245,2,3.8073549220576,9.79441586635011,8.05528243550119,8.2667865406949,9.12928301694497,"0"
"TCGA.18.5592.01A",8.02236781302845,5.58496250072116,9.09275714091985,16.6628630505626,8.63662462054365,6.85798099512757,3.32192809488736,5.08746284125034,13.6510516911789,3.8073549220576,10.5468944598876,10.7829982089204,9.36632221424582,6.32192809488736,6.49185309632967,9.70390357344466,7.74146698640115,3.32192809488736,14.2422809503024,12.418379719365,11.5526690975143,11.6054795180617,8.74146698640115,15.4103850983736,1,8.4757334309664,7.08746284125034,12.3619437737352,8.4262647547021,10.467605550083,"0"
